text,label
"Попробовал новое блюдо в кафе, и оно оказалось обычным. Неплохо, но и не слишком вкусно.",1
"Посещаю спортивный зал уже несколько месяцев, и результаты есть. Тренер дает хорошие рекомендации, программа тренировок эффективная. Но хотелось бы больше разнообразия в тренировках.",1
"Решила попробовать новый бренд косметики, и осталась довольна. Крем увлажняет кожу, не вызывает раздражения. Упаковка удобная, красивая.",1
"Купила комплект постельного белья, и он оказался неплохим. Мягкое, приятное на ощупь, хорошо пропускает воздух. После стирки не линяет, не деформируется.",1
"Посетил новый кинотеатр, и впечатления остались нейтральными. Зал чистый, уютный, кресла удобные. Звук хороший, изображение четкое. Но выбор фильмов мог бы быть и побольше.",1
"Выбрал недорогой вариант путешествия, и остался доволен. Сервис в отеле был хорошим, персонал вежливый, номера чистые. Еда разнообразная, вкусная.",1
"Пробовал новый бренд одежды, и впечатление осталось нейтральным. Хорошо сидит, приятно на ощупь, но дизайн мог быть и лучше. Цены могли бы быть и ниже.",1
"Решил сходить в новый салон красоты, но остался немного разочарованным. Мастера вежливые, оборудование современное, но услуги могли бы быть и дешевле.",1
"Взял напрокат автомобиль, и остался нейтральным. Машина чистая, ухоженная, но немного старая. Проблемы с кондиционером, подвеска скрипит.",1
"Отправился на экскурсию по городу, и впечатления были средними. Экскурсовод рассказывал интересно, но информация была поверхностной. Маршрут мог быть более продуманным, с большим количеством интересных мест.",1
"Узнал о новом бренде косметики, и решил попробовать. Отзывы были хорошими, но мне лично продукт не понравился. Может быть, мне просто не подошел, надо было попробовать другие средства.",1
"Сходил на занятия по изучению языка, и они мне понравились. Преподаватель опытный, уроки интересные, но мне показалось, что материал можно было бы подать и более увлекательно.",1

"Великолепное место, всем рекомендую!",2
"Отличное качество, стоит своих денег",2
"Сервис на высшем уровне",2
"Очень доволен покупкой",2
"Превосходное обслуживание",2
"Рад, что выбрал именно это место",2
"Замечательный опыт",2
"Прекрасное место для отдыха",2
"Все прошло просто идеально",2
"Очень вкусно и недорого",2
"Понравилось абсолютно все",2
"Буду рекомендовать друзьям",2
"Однозначно 5 из 5",2
"Продукт превзошел ожидания",2
"Замечательный персонал и сервис",2
"Всё просто супер!",2
"Хорошее соотношение цены и качества",2
"Просто восторг!",2
"Лучшая покупка за последнее время",2
"Обязательно вернусь снова",2
"Недавно посетил новый ресторан итальянской кухни и остался очень доволен! Обслуживание было на высшем уровне, а атмосфера просто потрясающая!",2
"Очень доволен покупкой нового смартфона. Все функции работают отлично, камера делает четкие и яркие снимки. Дизайн тоже очень понравился, выглядит стильно и современно.",2
"Номер в отеле превзошел все мои ожидания! Обслуживание было безупречным, персонал очень вежливый и внимательный. Еда в ресторане вкусная и разнообразная, а расположение отеля очень удобное.",2
"Книга оказалась очень интересной и познавательной! Автор пишет простым и понятным языком, без сложных терминов и конструкций. Рекомендую к прочтению!",2
"Десерт оказался очень вкусным! Он был сладким, но не приторным, с приятной текстурой. Подавали его красиво украшенным, что сделало его еще более аппетитным.",2
"Тренер оказался очень опытным и знающим свое дело! Он разработал для меня индивидуальную программу тренировок, которая помогла мне достичь своих целей. Результаты превзошли все мои ожидания!",2
"Косметика оказалась очень качественной! Она хорошо увлажняет кожу, не вызывает раздражений и аллергических реакций. Также очень понравилась упаковка, она удобная и красивая.",2
"Постельное белье оказалось очень мягким и приятным на ощупь! Оно хорошо пропускает воздух и не электризуется. После стирки не линяет и не деформируется.",2
"Кинотеатр оказался очень комфортным! Зал был чистым и уютным, кресла мягкими и удобными. Звук был чистым и громким, а изображение четким и ярким.",2
"Выбор оказался удачным! Игрушки оказались качественными и безопасными для ребенка. Они имеют яркие цвета и интересные формы, что делает игру с ними еще более увлекательной.",2
"Выставка оказалась очень информативной и интересной! Экспонаты были разнообразными и хорошо представлены. Экскурсовод рассказывал очень увлекательно и понятно, что сделало посещение еще более познавательным.",2
"Массаж оказался очень приятным и расслабляющим! Мастер очень опытный и профессиональный, он работал аккуратно и бережно. Ощущения после массажа были приятными и бодрящими.",2
"Посуда оказалась очень качественной! Покрытие не стирается и не царапается, легко моется. Также посуда имеет красивый дизайн, что делает ее привлекательной.",2
"Автомобиль оказался в хорошем состоянии! Двигатель работает тихо и ровно, подвеска мягкая и комфортная. Салон автомобиля чистый и уютный.",2
"Блюдо оказалось очень острым! Оно было вкусным, но острота была немного чрезмерной. Однако, если вы любите острую пищу, то оно вам понравится.",2
"Преподаватель оказался очень интересным и увлеченным своим делом! Он объяснял материал очень доступно и понятно, всегда был готов ответить на вопросы. Занятия проходили очень увлекательно и познавательно.",2
"Концерт оказался очень удачным! Звук был отличным, артисты пели и играли очень хорошо. Атмосфера была очень позитивной и веселой, все зрители хорошо провели время.",2
"Отель оказался очень гостеприимным! Персонал был очень вежливым и внимательным, всегда готов помочь. Номера были чистыми и уютными, питание разнообразным и вкусным.",2
"Экскурсия оказалась очень познавательной! Гид рассказывал очень интересно и увлекательно, показывал много интересных мест. Было очень приятно прогуляться по городу в компании такого интересного человека.",2
"Отзывы оказались правдивыми! Бренд действительно производит качественную продукцию, которая соответствует всем заявленным характеристикам. Рекомендую к покупке!",2
"Ресторан оказался очень атмосферным! Интерьер очень красивый и уютный, играет приятная музыка. Обслуживание было быстрым и вежливым, еда вкусной и разнообразной.",2
"Выставка современного искусства оказалась очень впечатляющей! Художники представили очень интересные и необычные работы. Каждое произведение заставляло задуматься о смысле жизни и своем месте в ней.",2
"Новое кафе оказалось приятным местом! Еда была вкусной и свежей, обслуживание быстрым и качественным. Очень уютная атмосфера и приятная музыка делали посещение еще более приятным.",2
"Товар оказался качественным! Все функции работали исправно, дизайн был стильным и современным. Также порадовал внешний вид упаковки, она была красивой и удобной.",2
"Услуги новой фирмы оказались очень качественными! Работа была выполнена точно в срок, мастер оказался опытным и профессиональным. Результат превзошел все ожидания, остался очень доволен работой мастера.",2
"Мероприятие оказалось очень интересным! Программа была разнообразной и насыщенной, участники были талантливыми и творческими. Очень понравилось общение с новыми людьми, получил много положительных эмоций.",2
"Фильм оказался очень хорошим! Сюжет был интересный и захватывающий, актеры играли очень убедительно. Визуальные эффекты были яркими и красочными, музыкальное сопровождение очень красивым.",2
"Продукт оказался качественным! Он работал быстро и без сбоев, дизайн был простым и удобным в использовании. Также порадовала упаковка, она была яркой и привлекательной.",2
"Компания оказалась надежной! Ее продукция соответствовала всем заявленным характеристикам, сервис был быстрым и качественным.",2
